ClassId,SignName,SignId
0,Speed limit (20km/h),3.29
1,Speed limit (30km/h),3.29
2,Speed limit (50km/h),3.29
3,Speed limit (60km/h),3.29
4,Speed limit (70km/h),3.29
5,Speed limit (80km/h),3.29
6,End of speed limit (80km/h),3.3
7,Speed limit (100km/h),3.29
8,Speed limit (120km/h),3.29
9,No passing,3.25
10,No passing for vehicles over 3.5 metric tons,3.27
11,Right-of-way at the next intersection,1.22
12,Priority road,2.3
13,Yield,2.1
14,Stop,2.2
15,No vehicles,3.1
16,Vehicles over 3.5 metric tons prohibited,3.3
17,No entry,3.21
18,General caution,1.39
19,Dangerous curve to the left,1.2
20,Dangerous curve to the right,1.1
21,Double curve,1.3.2
22,Bumpy road,1.1
23,Slippery road,1.13
24,Road narrows on the right,1.5.2
25,Road work,1.37
26,Traffic signals,1.24
27,Pedestrians,1.32
28,Children crossing,1.33
29,Bicycles crossing,1.34
30,Beware of ice/snow,None
31,Wild animals crossing,1.36
32,End of all speed and passing limits,3.42
33,Turn right ahead,4.2
34,Turn left ahead,4.3
35,Ahead only,4.1
36,Go straight or right,4.4
37,Go straight or left,4.5
38,Keep right,4.7
39,Keep left,4.8
40,Roundabout mandatory,4.1
41,End of no passing,3.26
42,End of no passing by vehicles over 3.5 metric tons,3.28
